player_id,name,role,bat_avg,bowl_avg,strike_rate,wickets_per_match,win_loss_ratio,experience
1,Kusal Perera,Batsman,38.5,0.0,91.2,0.1,0.56,110
2,Mahela Jayawardene,Batsman,44.7,0.0,88.4,0.0,0.61,448
3,Kithuruwan Vithanage,Batsman,32.4,0.0,85.7,0.0,0.52,48
4,Lahiru Thirimanne,Batsman,34.8,0.0,82.1,0.1,0.55,126
5,Upul Tharanga,Batsman,33.1,0.0,83.5,0.0,0.54,235
6,Dimuth Karunaratne,Batsman,31.9,0.0,78.4,0.0,0.5,60
7,Ramith Rambukwella,AllRounder,29.3,38.2,76.9,0.4,0.48,45
8,Ajantha Mendis,Spinner,15.4,21.8,70.1,2.1,0.6,87
9,Rangana Herath,Spinner,12.6,23.4,68.9,1.8,0.63,93
10,Sachithra Senanayake,Spinner,14.9,24.1,69.5,1.6,0.58,78
11,Tharindu Kaushal,Spinner,11.2,26.8,65.4,1.3,0.51,34
12,Lakshan Sandakan,Spinner,13.5,25.9,67.3,1.9,0.57,55
13,Lahiru Gamage,FastBowler,10.3,28.7,64.1,1.2,0.49,22
14,Lasith Malinga,FastBowler,13.7,22.3,85.2,2.4,0.67,226
15,Suranga Lakmal,FastBowler,9.8,27.6,63.9,1.5,0.53,86
16,Nuwan Kulasekara,FastBowler,14.6,26.1,79.8,1.7,0.59,184
17,Shaminda Eranga,FastBowler,8.4,29.9,61.7,1.1,0.46,44
18,Nuwan Pradeep,FastBowler,7.9,30.5,60.2,1.3,0.47,52
19,Dhammika Prasad,FastBowler,8.7,28.9,62.4,1.4,0.48,39
20,Farveez Maharoof,AllRounder,22.8,34.6,74.5,0.8,0.51,140
21,Thisara Perera,AllRounder,25.6,33.1,89.6,1.2,0.58,166
22,Angelo Mathews,AllRounder,41.2,31.8,83.9,0.9,0.62,220
23,Tillakaratne Dilshan,AllRounder,39.3,36.4,86.7,0.7,0.6,330
24,Ashan Priyanjan,AllRounder,27.4,37.2,77.3,0.5,0.49,58
25,Jeevan Mendis,AllRounder,21.9,35.1,72.6,0.9,0.54,91
26,Seekkuge Prasanna,AllRounder,24.1,34.8,90.1,1.0,0.56,65
27,Dilruwan Perera,AllRounder,26.8,32.9,79.4,0.8,0.55,79
28,Kumar Sangakkara,WicketKeeper,41.9,0.0,86.1,0.0,0.64,404
29,Dinesh Chandimal,WicketKeeper,33.6,0.0,84.3,0.0,0.57,134
30,Niroshan Dickwella,WicketKeeper,31.4,0.0,87.5,0.0,0.53,94
